Time,Value
0.921570, 75.492088
0.921631, 75.995293
0.921692, 75.492088
0.921753, 74.293793
0.921814, 75.492088
0.921875, 75.451073
0.921936, 76.834343
0.921997, 75.816620
0.922058, 74.930244
0.922119, 78.170204
0.922180, 75.816620
0.922241, 75.816620
0.922302, 76.140953
0.922363, 73.715553
0.922424, 75.176300
0.922485, 75.176300
0.922546, 75.176300
0.922607, 74.379967
0.922668, 75.176300
0.922729, 75.333855
0.922791, 74.379967
0.922852, 74.379967
0.922913, 74.379967
0.922974, 74.378296
0.923035, 74.282417
0.923096, 76.187950
0.923157, 75.995834
0.923218, 75.476341
0.923279, 75.476341
0.923340, 76.979599
0.923401, 75.476341
0.923462, 75.476341
0.923523, 74.877434
0.923584, 74.267525
0.923645, 74.317986
0.923706, 74.267525
0.923767, 73.948395
0.923828, 74.267525
0.923889, 74.260712
0.923950, 72.614632
0.924011, 76.440140
0.924072, 76.221527
0.924133, 75.839157
0.924194, 72.184685
0.924255, 75.839157
0.924316, 76.258324
0.924377, 73.854599
0.924438, 74.766983
0.924500, 75.896057
0.924561, 74.054001
0.924622, 73.383728
0.924683, 70.416000
0.924744, 72.115417
0.924805, 74.054001
0.924866, 78.916901
0.924927, 74.054001
0.924988, 76.934532
0.925049, 77.487228
0.925110, 76.390167
0.925171, 72.643410
0.925232, 71.656799
0.925293, 73.337082
0.925354, 76.300522
0.925415, 73.978310
0.925476, 75.115036
0.925537, 77.864975
0.925598, 76.552177
0.925659, 74.286552
0.925720, 72.708443
0.925781, 75.191772
0.925842, 74.527855
0.925903, 77.363823
0.925964, 79.749634
0.926025, 74.079056
0.926086, 78.321892
0.926147, 72.742882
0.926208, 79.808250
0.926270, 74.678345
0.926331, 78.143715
0.926392, 74.499016
0.926453, 80.021690
0.926514, 76.610016
0.926575, 78.358299
0.926636, 76.610016
0.926697, 77.113594
0.926758, 78.208572
0.926819, 74.780357
0.926880, 79.400856
0.926941, 77.113594
0.927002, 76.003052
0.927063, 76.003052
0.927124, 77.200844
0.927185, 75.598351
0.927246, 77.674820
0.927307, 77.118584
0.927368, 77.200844
0.927429, 77.118584
0.927490, 78.114670
0.927551, 77.200844
0.927612, 77.271049
0.927673, 77.271049
0.927734, 77.271049
0.927795, 75.360680
0.927856, 79.283836
0.927917, 79.634224
0.927979, 77.271049
0.928040, 79.692085
0.928101, 79.982246
0.928162, 79.634224
0.928223, 79.692085
0.928284, 79.949722
0.928345, 80.668999
0.928406, 79.907600
0.928467, 79.907600
0.928528, 79.907600
0.928589, 79.907600
0.928650, 80.494804
0.928711, 75.471542
0.928772, 77.956329
0.928833, 75.671677
0.928894, 77.959045
0.928955, 77.549751
0.929016, 77.134354
0.929077, 80.742943
0.929138, 79.562943
0.929199, 76.775414
0.929260, 78.389458
0.929321, 79.083176
0.929382, 80.762032
0.929443, 78.796219
